Name;Age;Class;Ticket;Joined;Job;Fate;Sex
CORNBLATT, Mr Harris;30;3rd Class Passenger;"SOTON/OQ 392090
£8 1s";Southampton;Upholsterer  ;Dead;M
CORNELL, Mrs Malvina Helen;55;1st Class Passenger;"11770
£25 14s 10d";Southampton; ;Survivor;F
CORR, Miss Ellen;16;3rd Class Passenger;"367231
£7 15s";Queenstown; ;Survivor;F
COSGROVE, Mr John;23;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
COSGROVE, Mr William;26;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
COTTERILL, Mr Henry;21;2nd Class Passenger;"29107
£11 10s";Southampton;Carpenter / Joiner  ;Dead;M
COTTON, Mr Alfred;36;Engineering Crew;;Southampton;Trimmer  ;Dead;M
COUCH, Mr Frank;28;Deck Crew;;Southampton;Able Seaman  ;Dead;M
COUCH, Mr Joseph Henry;49;Engineering Crew;;Southampton;Greaser  ;Dead;M
COUPER, Mr Robert Frederick William;30;Engineering Crew;;Southampton;Fireman  ;Survivor;M
COUTIN, Mr Auguste Louis;28;Restaurant Staff;;Southampton;Entreé Cook  ;Dead;M
COUTTS, Master Neville Leslie;3;3rd Class Passenger;"37671
£15 18s";Southampton; ;Survivor;M
COUTTS, Master William Loch;9;3rd Class Passenger;"37671
£15 18s";Southampton; ;Survivor;M
COUTTS, Mrs Winnie;36;3rd Class Passenger;"37671
£15 18s";Southampton; ;Survivor;F
COX, Mr William Denton;30;Victualling Crew;;Southampton;Third class steward  ;Dead;M
COXON, Mr Daniel;58;3rd Class Passenger;"364500
£7 5s";Southampton;Dealer  ;Dead;M
COY, Mr Francis Ernest George;27;Engineering Crew;;Belfast;Junior Assistant 3rd. Engineer  ;Dead;M
CRABB, Mr Henry James;23;Engineering Crew;;Southampton;Trimmer  ;Dead;M
CRAFTER, Mr Frederick Horace;20;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Survivor;M
CRAFTON, Mr John Bertram;59;1st Class Passenger;"113791
£26 11s";Southampton;Businessman  ;Dead;M
CRAIG, Mr David;33;Engineering Crew;;Belfast;Fireman  ;Survivor;M
CRAIG, Mr John;29;Engineering Crew;;Belfast;Fireman  ;Survivor;M
CRAWFORD, Mr Alfred George;43;Victualling Crew;;Belfast;Bed Room Steward  ;Survivor;M
CREASE, Mr Ernest James;20;3rd Class Passenger;"3464
£8 3s 2d";Southampton;Tinsmith  ;Dead;M
CREESE, Mr Henry Philip;45;Engineering Crew;;Belfast;Deck Engineer  ;Dead;M
CRIBB, Miss Laura Mae;16;3rd Class Passenger;"371362
£16 2s";Southampton;Shop Assistant  ;Survivor;F
CRIBB, Mr John Hatfield;43;3rd Class Passenger;"371362
£16 2s";Southampton;Butler  ;Dead;M
CRIMMINS, Mr James;21;Engineering Crew;;Southampton;Fireman  ;Survivor;M
CRISP, Mr Albert Hector;39;Victualling Crew;;Belfast;Saloon Steward  ;Dead;M
CRISPIN, Mr William;33;Victualling Crew;;Southampton;Glory Hole Steward  ;Dead;M
CROSBIE, Mr John Borthwick;45;Victualling Crew;;Southampton;Turkish Bath Attendant  ;Dead;M
CROSBY, Captain Edward Gifford;70;1st Class Passenger;"5735
£71";Southampton; ;Dead;M
CROSBY, Miss Harriette Rebecca;39;1st Class Passenger;"112901
£26 11s";Southampton; ;Survivor;F
CROSBY, Mrs Catherine Elizabeth;64;1st Class Passenger;"5735
£71";Southampton; ;Survivor;F
CROSKERY, Mr Thomas;38;Engineering Crew;;Belfast;Fireman  ;Survivor;M
CROSS, Mr William Alfred;44;Engineering Crew;;Southampton;Fireman  ;Dead;M
CROSSLEY, Mr John;34;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
CROUGHANE, Mr Michael;45;Engineering Crew;;Belfast;Fireman  ;Survivor;M
CROVELLA, Sig. Luigi;17;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
CROWE, Mr George Frederick;30;Victualling Crew;;Southampton;Saloon Steward  ;Survivor;M
CRUMPLIN, Mr Charles George Chandler;35;Victualling Crew;;Belfast;Bed Room Steward  ;Dead;M
CULLEN, Mr Charles James;49;Victualling Crew;;Belfast;1st Class Bedroom Steward  ;Survivor;M
CULLEN, Mr John;43;Engineering Crew;;Belfast;Leading Fireman  ;Survivor;M
CULLEN, Mr Patrick;36;Engineering Crew;;Belfast;Fireman  ;Survivor;M
CULUMOVIC, Mr Jeso;17;3rd Class Passenger;"315090
£8 13s 3d";Southampton; ;Dead;M
CUMINGS, Mr John Bradley;39;1st Class Passenger;"17599
£71 5s 8d";Cherbourg; ;Dead;M
CUMINGS, Mrs Florence Briggs;35;1st Class Passenger;"17599
£71 5s 8d";Cherbourg; ;Survivor;F
CUNNINGHAM, Mr Alfred Fleming;22;"2nd Class Passenger
H&W Guarantee Group";239853;Belfast;Fitter  ;Dead;M
CUNNINGHAM, Mr Andrew Orr;38;Victualling Crew;;Belfast;1st Class Bedroom Steward  ;Survivor;M
CUNNINGHAM, Mr Bernard;35;Engineering Crew;;Southampton;Fireman  ;Dead;M
CURRAN, Mr Thomas;41;Engineering Crew;;Belfast;Greaser  ;Survivor;M
CURTIS, Mr Arthur;26;Engineering Crew;;Southampton;Fireman  ;Dead;M
DAHER, Mr Tannous;28;3rd Class Passenger;"2686
£7 4s 7d";Cherbourg; ;Dead;M
DAHL, Mr Charles Edward;45;3rd Class Passenger;"7598
£8 1s";Southampton;Carpenter / Joiner  ;Survivor;M
DAHLBERG, Miss Gerda Ulrika;22;3rd Class Passenger;"7552
£10 10s 4d";Southampton; ;Dead;F
DAKIC, Mr Branko;19;3rd Class Passenger;"349228
£10 3s 5d";Southampton;General Labourer  ;Dead;M
DALY, Miss Margaret Marcella;33;3rd Class Passenger;"382650
£6 19s";Queenstown;Housekeeper  ;Survivor;F
DALY, Mr Eugene Patrick;29;3rd Class Passenger;"382651
£7 15s";Queenstown;Farm Labourer  ;Survivor;M
DALY, Mr Peter Dennis;51;1st Class Passenger;"113055
£26 11s";Southampton;Businessman  ;Survivor;M
DANBOM, Master Gilbert Sigvard Emanuel;39;3rd Class Passenger;"347080
£14 8s";Southampton; ;Dead;M
DANBOM, Mr Ernst Gilbert;34;3rd Class Passenger;"347080
£14 8s";Southampton;General Labourer  ;Dead;M
DANBOM, Mrs Anna Sigrid Maria;28;3rd Class Passenger;"347080
£14 8s";Southampton; ;Dead;F
DANIEL, Mr Robert Williams;27;1st Class Passenger;"113804
£30 10s";Southampton; ;Survivor;M
DANIELS, Miss Sarah Rebecca;36;"1st Class Passenger
Servant";"113781
£151 16s";Southampton;Personal Maid  ;Survivor;F
DANIELS, Mr Sidney Edward;18;Victualling Crew;;Southampton;Third class steward  ;Survivor;M
DANOFF, Mr Yoto;27;3rd Class Passenger;"349219
£7 17s 11d";Southampton;General Labourer  ;Dead;M
DASHWOOD, Mr William George;18;Victualling Crew;;Southampton;Saloon Steward (2nd class)  ;Dead;M
DAVIDSON, Mr Thornton;31;1st Class Passenger;"12750
£52";Cherbourg; ;Dead;M
DAVIDSON, Mrs Orian;27;1st Class Passenger;"12750
£52";Cherbourg; ;Survivor;F
DAVIES, Master John Morgan jr;8;2nd Class Passenger;"33112
£36 15s";Southampton; ;Survivor;M
DAVIES, Miss K.;;"2nd Class Passenger
Cross Channel Passenger";"406
£2";Southampton; ;Survivor;F
DAVIES, Mr Alfred James;24;3rd Class Passenger;"48871
£24 3s";Southampton;Caster  ;Dead;M
DAVIES, Mr Charles Henry;19;2nd Class Passenger;"14879
£73 10s";Southampton; ;Dead;M
DAVIES, Mr Evan Lewis;22;3rd Class Passenger;"23568
£8 1s";Southampton;Miner  ;Dead;M
DAVIES, Mr Gordon Raleigh;32;Victualling Crew;;Belfast;1st Class Bedroom Steward  ;Dead;M
DAVIES, Mr H. V.;;"2nd Class Passenger
Cross Channel Passenger";"406
£2";Southampton; ;Survivor;M
DAVIES, Mr John;22;3rd Class Passenger;"48871
£24 3s";Southampton;Ironworker  ;Dead;M
DAVIES, Mr Joseph;17;3rd Class Passenger;"48873
£8 1s";Southampton;Ironworker  ;Dead;M
DAVIES, Mr Robert J.;26;Victualling Crew;;Belfast;Saloon Steward  ;Dead;M
DAVIES, Mr Thomas;33;Engineering Crew;;Southampton;Leading Fireman  ;Dead;M
DAVIES, Mrs Agnes;48;2nd Class Passenger;"33112
£36 15s";Southampton; ;Survivor;F
DAVIS, Miss Mary Ann Charlotte;28;2nd Class Passenger;"237668
£13";Southampton; ;Survivor;F
DAVIS, Mr John;29;Victualling Crew;;Belfast;Extra 2nd Baker  ;Dead;M
DAVIS, Mr Stephen James;39;Deck Crew;;Southampton;Able Seaman  ;Dead;M
DAVISON, Mr Thomas Henry;32;3rd Class Passenger;"386525
£16 2s";Southampton;Blacksmith  ;Dead;M
DAVISON, Mrs Mary Elizabeth;34;3rd Class Passenger;"386525
£16 2s";Southampton; ;Survivor;F
DAWSON, Mr Joseph;23;Engineering Crew;;Southampton;Trimmer  ;Dead;M
DE GRASSE, Mr J.;;"2nd Class Passenger
Cross Channel Passenger";"761
£1";Southampton; ;Survivor;M
DE MARSICO, Sig. Govanni;20;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
DE MESSEMAEKER, Mr Guillaume Joseph;36;3rd Class Passenger;"345572
£17 8s";Southampton; ;Survivor;M
DE MESSEMAEKER, Mrs Anna;36;3rd Class Passenger;"345572
£17 8s";Southampton; ;Survivor;F
DE MULDER, Mr Theodoor;30;3rd Class Passenger;"345774
£9 10s";Southampton; ;Survivor;M
DE PELSMAEKER, Mr Alfons;16;3rd Class Passenger;"345778
£9 10s";Southampton;Farm Labourer  ;Dead;M
DEACON, Mr Percy William;18;2nd Class Passenger;"14879
£73 10s";Southampton;Baker  ;Dead;M
DEAN, Master Bertram Vere;1;3rd Class Passenger;"2315
£20 11s 6d";Southampton; ;Survivor;M
DEAN, Miss Elizabeth Gladys 'Millvina';38;3rd Class Passenger;"2315
£20 11s 6d";Southampton; ;Survivor;F
DEAN, Mr Bertram Frank;25;3rd Class Passenger;"2315
£20 11s 6d";Southampton;Farmer  ;Dead;M
DEAN, Mr George H.;19;Victualling Crew;;Southampton;Assistant Saloon Steward  ;Dead;M
DEAN, Mrs Eva Georgetta;32;3rd Class Passenger;"2315
£20 11s 6d";Southampton; ;Survivor;F
DEBREUCQ, Mr Maurice Emile Victor;18;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
DECKER, Mr Charles;47;Engineering Crew;;Belfast;Fireman  ;Survivor;M
DEEBLE, Mr Alfred Arnold;35;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
DEL CARLO, Mr Sebastiano;29;2nd Class Passenger;"2167
£27 14s 5d";Cherbourg; ;Dead;M
DEL CARLO, Mrs Argene;24;2nd Class Passenger;"2167
£27 14s 5d";Cherbourg; ;Survivor;F
DELALIC, Mr Redjo;25;3rd Class Passenger;"349250
£7 17s 11d";Southampton;General Labourer  ;Dead;M
DENBUOY, Mr Albert Joseph;25;2nd Class Passenger;"31029
£31 10s";Southampton;Fruit Farmer  ;Dead;M
DENKOFF, Mr Mitto;30;3rd Class Passenger;"349225
£7 17s 11d";Southampton;General Labourer  ;Dead;M
DENMIGAN, Mr Charles;42;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
DENNIS, Mr Samuel;22;3rd Class Passenger;"21172
£7 5s";Southampton;Farmer  ;Dead;M
DENNIS, Mr William;26;3rd Class Passenger;"21175
£7 5s";Southampton;Farmer  ;Dead;M
DENVER, Mr John;33;Engineering Crew;;Belfast;Fireman  ;Survivor;M
DERRETT, Mr Arthur Henry;29;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
DESLANDES, Mr Percival Stainer;38;Victualling Crew;;Southampton;Saloon Steward  ;Dead;M
DESVERNINE, Mr Louis Gabriel;20;Restaurant Staff;;Southampton;Assistant Pastry Cook  ;Dead;M
DEVANEY, Miss Margaret Delia;19;3rd Class Passenger;"330958
£7 17s 7d";Queenstown; ;Survivor;F
DIAPER, Mr John Joseph;27;Engineering Crew;;Southampton;Fireman  ;Survivor;M
DIBDEN, Mr William;18;2nd Class Passenger;"14879
£73 10s";Southampton;General Labourer  ;Dead;M
DICK, Mr Albert Adrian;31;1st Class Passenger;"17474
£57";Southampton; ;Survivor;M
DICK, Mrs Vera;17;1st Class Passenger;"17474
£57";Southampton; ;Survivor;F
DICKSON, Mr William;37;Engineering Crew;;Southampton;Trimmer  ;Dead;M
DIKA, Mr Mirko;17;3rd Class Passenger;"349232
£7 17s 11d";Southampton; ;Dead;M
DILLEY, Mr John;30;Engineering Crew;;Southampton;Fireman  ;Survivor;M
DILLON, Mr Thomas Patrick;34;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
DIMIC, Mr Jovan;42;3rd Class Passenger;"315088
£8 13s 3d";Southampton; ;Dead;M
DINENAGE, Mr James Richard;49;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
DINTCHEFF, Mr Valtcho;43;3rd Class Passenger;"349226
£7 17s 11d";Southampton; ;Dead;M
DODD, Mr Edward Charles;39;Engineering Crew;;Belfast;Junior 3rd. Engineer  ;Dead;M
DODD, Mr George Charles;44;Victualling Crew;;Belfast;Second Steward, 1st Class  ;Dead;M
DODDS, Mr Henry Watson;27;Engineering Crew;;Southampton;Junior Assistant 4th Engineer  ;Dead;M
DODGE, Dr Washington;52;1st Class Passenger;"33638
£81 17s 2d";Southampton;Politician  ;Survivor;M
DODGE, Master Washington;4;1st Class Passenger;"33638
£81 17s 2d";Southampton; ;Survivor;M
DODGE, Mrs Ruth;34;1st Class Passenger;"33638
£81 17s 2d";Southampton; ;Survivor;F
DOEL, Mr Frederick;22;Engineering Crew;;Southampton;Fireman  ;Survivor;M
DOLBY, Mr Joseph;39;Victualling Crew;;Belfast;Reception Steward (1st Class)  ;Dead;M
DOLING, Miss Elsie;18;2nd Class Passenger;"231919
£23";Southampton; ;Survivor;F
DOLING, Mrs Ada Julia Elizabeth;34;2nd Class Passenger;"231919
£23";Southampton; ;Survivor;F
DONATI, Sig. Italo Francesco;17;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
DONAUGHE, Mr Hugh;34;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
DONOGHUE, Mr Florence;31;Victualling Crew;;Belfast;Bed Room Steward  ;Dead;M
DONOHOE, Miss Bridget;21;3rd Class Passenger;"364856
£7 15s";Queenstown; ;Dead;F
DOOLY, Mr Patrick;37;3rd Class Passenger;"370376
£7 15s";Queenstown;General Labourer  ;Dead;M
DORE, Mr Albert James;23;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
DORKING, Mr Edward Arthur;18;3rd Class Passenger;"10482
£8 1s";Southampton;Groom  ;Survivor;M
DORNIER, Mr Louis Auguste;20;Restaurant Staff;;Southampton;Assistant Fish Cook  ;Dead;M
DOUGHERTY, Mr William John;22;3rd Class Passenger;"330877
£8 9s 2d";Queenstown; ;Dead;M
DOUGHTY, Mr Walter Thomas;22;Victualling Crew;;Southampton;Saloon Steward (2nd class)  ;Dead;M
DOUGLAS, Mr Walter Donald;50;1st Class Passenger;"17761
£106 8s 6d";Cherbourg; ;Dead;M
DOUGLAS, Mrs Mahala;48;1st Class Passenger;"17761
£106 8s 6d";Cherbourg; ;Survivor;F
DOUGLAS, Mrs Mary Hélène;27;1st Class Passenger;"17558
£247 10s 5d";Cherbourg; ;Survivor;F
DOUGLASS, Mr William;31;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
DOUTON, Mr William Joseph;55;2nd Class Passenger;"28403
£26";Southampton;Quarryman  ;Dead;M
DOWDELL, Miss Elizabeth;31;3rd Class Passenger;"364516
£12 9s 6d";Southampton;Housekeeper  ;Survivor;F
DOYLE, Miss Elizabeth;28;3rd Class Passenger;"368702
£7 15s";Queenstown; ;Dead;F
DOYLE, Mr Laurence;27;Engineering Crew;;Southampton;Fireman  ;Dead;M
DRAZENOVIC, Mr Jozef;33;3rd Class Passenger;"349241
£7 17s 11d";Cherbourg;General Labourer  ;Dead;M
DREW, Master Marshall Brines;8;2nd Class Passenger;"28220
£32 10s";Southampton; ;Survivor;M
DREW, Mr James Vivian;42;2nd Class Passenger;"28220
£32 10s";Southampton; ;Dead;M
DREW, Mrs Maria Louisa Thorne;34;2nd Class Passenger;"28220
£32 10s";Southampton; ;Survivor;F
DRISCOLL, Miss Bridget;27;3rd Class Passenger;"14311
£7 15s";Queenstown; ;Survivor;F
DROPKIN, Miss Jennie;24;3rd Class Passenger;"392083
£8 1s";Southampton;Box Maker  ;Survivor;F
DUFF GORDON, Lucy Christiana, Lady;48;1st Class Passenger;"17485
£56 18s 7d";Cherbourg;Dressmaker / Couturière  ;Survivor;F
DUFF GORDON, Sir Cosmo Edmund;49;1st Class Passenger;"11755
£39 12s";Cherbourg;Landowner  ;Survivor;M
DUFFY, Mr William Luke;36;Engineering Crew;;Belfast;Writer / Engineer's Clerk ;Dead;M
DULLES, Mr William Crothers;39;1st Class Passenger;"17580
£29 14s";Cherbourg; ;Dead;M
DUNFORD, Mr William;48;Victualling Crew;;Southampton;Hospital Steward  ;Dead;M
DUNLOP, Mr Joseph;47;Engineering Crew;;Belfast;Fireman  ;Survivor;M
DUQUEMIN, Mr Joseph Pierre;24;3rd Class Passenger;"752
£7 11s";Southampton;Mason  ;Survivor;M
DURNIL, Mr James;38;Engineering Crew;;Southampton;Leading Fireman  ;Dead;M
DURÃ¡N I MONÃ, Sra. Asuncion;27;2nd Class Passenger;"2149
£13 17s 2d";Cherbourg; ;Survivor;F
DURÃ¡N I MONÃ, Sra. Florentina;30;2nd Class Passenger;"2148
£13 17s 2d";Cherbourg; ;Survivor;F
DWAN, Mr Frank;65;3rd Class Passenger;"336439
£7 15s";Queenstown;Farm Labourer  ;Dead;M
DYER EDWARDES, Mr Thomas;65;"1st Class Passenger
Cross Channel Passenger";"87
£3";Southampton; ;Survivor;M
DYER EDWARDES, Mrs Clementina Georgina Lucy Drummond;53;"1st Class Passenger
Cross Channel Passenger";"87
£3";Southampton; ;Survivor;F
DYER, Mr Henry Ryland;24;Engineering Crew;;Belfast;Senior Assistant 4th. Engineer  ;Dead;M
DYER, Mr William Henry;33;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
DYKER, Mr Adolf Fredrik;23;3rd Class Passenger;"347072
£13 18s";Southampton;General Labourer  ;Dead;M
DYKER, Mrs Anna Elisabeth Judith;22;3rd Class Passenger;"347072
£13 18s";Southampton; ;Survivor;F
DYMOND, Mr Frank;41;Engineering Crew;;Southampton;Fireman  ;Survivor;M
DÄBā, Mr IlyÄs;29;3rd Class Passenger;"2674
£7 4s 6d";Cherbourg;General Labourer  ;Survivor;M
EAGLE, Mr Alfred James;22;Engineering Crew;;Southampton;Trimmer  ;Dead;M
EARNSHAW, Mrs Olive;23;1st Class Passenger;"11767
£83 3s 2d";Cherbourg;Of Independent Means  ;Survivor;F
EASTMAN, Mr Charles;44;Engineering Crew;;Southampton;Greaser  ;Dead;M
EDBROOKE, Mr Francis Samuel Jacob;23;Victualling Crew;;Southampton;Third class steward  ;Dead;M
EDE, Mr George Bulkeley;23;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
EDGE, Mr Frederick William;39;Victualling Crew;;Southampton;Deck Steward (2nd class)  ;Dead;M
EDVARDSSON, Mr Gustaf Hjalmar;18;3rd Class Passenger;"349912
£7 15s 6d";Southampton;General Labourer  ;Dead;M
EDWARDS, Mr Charles Essex;39;Victualling Crew;;Southampton;Assistant Pantryman Steward (1st Class)  ;Dead;M
EGG, Mr William Henry;48;Victualling Crew;;Southampton;Third class steward  ;Dead;M
EITEMILLER, Mr George Floyd;25;2nd Class Passenger;"29751
£13";Southampton; ;Dead;M
EKLUND, Mr Hans Linus;16;3rd Class Passenger;"347074
£7 15s 6d";Southampton;General Labourer  ;Dead;M
EKSTRÃM, Mr Amandus;45;3rd Class Passenger;"347061
£6 19s 6d";Southampton;General Labourer  ;Dead;M
ELIAS NASRALLAH, Mr Tannous;22;3rd Class Passenger;"2695
£7 4s 7d";Cherbourg;General Labourer  ;Dead;M
ELIAS, Mr Joseph jr.;15;3rd Class Passenger;"2690
£7 4s 7d";Cherbourg;General Labourer  ;Dead;M
ELLIOTT, Mr Everett Edward;23;Engineering Crew;;Southampton;Trimmer  ;Dead;M
ELLIS, Mr John Bertie;29;Victualling Crew;;Southampton;Assistant Vegetable Cook  ;Survivor;M
ELLISON, Mr Joseph;29;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
ELSBURY, Mr William James;48;3rd Class Passenger;"3902
£7 5s";Southampton;Farmer  ;Dead;M
EMANUEL, Miss Virginia Ethel;5;3rd Class Passenger;"364516
£12 9s 6d";Southampton; ;Survivor;F
ENANDER, Mr Ingvar;21;2nd Class Passenger;"236854
£13";Southampton; ;Dead;M
ENDRES, Miss Caroline Louise;39;"1st Class Passenger
Servant";"17757
£247 10s 6d";Cherbourg;Nurse  ;Survivor;F
ENNES, Mr William;28;Engineering Crew;;Belfast;Leading Fireman  ;Survivor;M
ENNIS, Mr Walter;34;Victualling Crew;;Southampton;Turkish Bath Attendant  ;Dead;M
ERVINE, Mr Albert George;18;Engineering Crew;;Belfast;Assistant Electrician  ;Dead;M
ESTANISLAU, Mr Manuel GonÃ§alves;37;3rd Class Passenger;"3101306
£7 1s";Southampton;General Labourer  ;Dead;M
ETCHES, Mr Henry Samuel;43;Victualling Crew;;Belfast;First class bedroom steward  ;Survivor;M
EUSTIS, Miss Elizabeth Mussey;54;1st Class Passenger;"36947
£78 5s 4d";Cherbourg; ;Survivor;F
EVANS, Miss;;"2nd Class Passenger
Cross Channel Passenger";"88
£1";Southampton; ;Survivor;F
EVANS, Miss Edith Corse;36;1st Class Passenger;"17531
£31 13s 7d";Cherbourg; ;Dead;F
EVANS, Mr Alfred Frank;25;Deck Crew;;Southampton;Lookout  ;Survivor;M
EVANS, Mr Frank Oliver;27;Deck Crew;;Southampton;Able Seaman  ;Survivor;M
EVANS, Mr George Richard;27;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
EVANS, Mr William Thomas;33;Engineering Crew;;Southampton;Trimmer  ;Dead;M
EVERETT, Mr Thomas James;38;3rd Class Passenger;"6212
£15 2s";Southampton;Crane Operator  ;Dead;M
FAHLSTRÃ¸M, Mr Arne Joma;18;2nd Class Passenger;"236171
£13";Southampton; ;Dead;M
FAIRALL, Mr Henry Charles;38;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
FARDON, Mr Charles Richard;46;3rd Class Passenger;"3101314
£7 5s";Southampton;Carpenter / Joiner  ;Dead;M
FARENDEN, Mr Ernest John;22;Victualling Crew;;Belfast;Confectioner  ;Dead;M
FARLEY, Mr John;31;Engineering Crew;;Belfast;Fireman  ;Survivor;M
FARQUHARSON, Mr William Edward;39;Engineering Crew;;Belfast;Senior 2nd. Engineer  ;Dead;M
FARRELL, Mr James;26;3rd Class Passenger;"367232
£7 15s";Queenstown;Farm Labourer  ;Dead;M
FARTHING, Mr John;49;"1st Class Passenger
Servant";"17483
£221 15s 7d";Southampton;Servant  ;Dead;M
FAULKNER, Mr William Stephen;37;Victualling Crew;;Belfast;1st Class Bedroom Steward  ;Survivor;M
FAUNTHORPE, Mr Harry Bartram;32;2nd Class Passenger;"2926
£26";Southampton; ;Dead;M
FAY, Mr Thomas Joseph;30;Engineering Crew;;Southampton;Greaser  ;Dead;M
FELLOWES, Mr Alfred James;29;Victualling Crew;;Belfast;Assistant boots steward (1st class)  ;Dead;M
FELTHAM, Mr George William;42;Victualling Crew;;Southampton;Vienna Baker  ;Dead;M
FERRARY, Mr Antonio;33;Engineering Crew;;Southampton;Trimmer  ;Dead;M
FERRIS, Mr George;34;Engineering Crew;;Belfast;Fireman  ;Survivor;M
FERRIS, Mr William;39;Engineering Crew;;Southampton;Leading Fireman  ;Dead;M
FERRON, Mr Nicholas;32;Engineering Crew;;Belfast;Fireman  ;Survivor;M
FEY, Sig. Carlo;30;Restaurant Staff;;Southampton;Scullion  ;Dead;M
FILLBROOK, Mr Joseph Charles;18;2nd Class Passenger;"15185
£10 10s";Southampton;Painter & Decorator  ;Dead;M
FINCH, Mr Henry Herman;19;Victualling Crew;;Southampton;Steward (3rd Class)  ;Dead;M
FINOLI, Mr Luigi;34;3rd Class Passenger;"3101308
£7 1s";Southampton; ;Survivor;M
FIORAVANTE, Sig. Giuseppe Bertoldo;23;Restaurant Staff;;Southampton;Assistant Scullion  ;Dead;M
FISCHER, Mr Eberhard Thelander;18;3rd Class Passenger;"350036
£7 15s 11d";Southampton; ;Dead;M
FITZPATRICK, Mr Cecil William;21;Engineering Crew;;Southampton;Mess Steward  ;Survivor;M
FITZPATRICK, Mr Hugh Joseph;29;Engineering Crew;;Belfast;Junior Boilermaker  ;Dead;M
FLACK, Mr John;30;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
FLARTY, Mr Edward;52;Engineering Crew;;Southampton;Fireman  ;Survivor;M
FLEET, Mr Frederick;24;Deck Crew;;Belfast;Lookout  ;Survivor;M
FLEGENHEIM, Mrs Antoinette;48;1st Class Passenger;"17598
£31 13s 8d";Cherbourg; ;Survivor;F
FLEMING, Miss Honor;22;3rd Class Passenger;"364859
£7 15s";Queenstown; ;Dead;F
FLEMING, Miss Margaret;42;"1st Class Passenger
Servant";"17421
£110 17s 8d";Cherbourg;Personal Maid  ;Survivor;F
FLEMMING, Mr William;32;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
FLETCHER, Miss N.;;"1st Class Passenger
Cross Channel Passenger";"405
£1 10s";Southampton; ;Survivor;F
FLETCHER, Mr Percy William;26;Victualling Crew;;Belfast;Bugler Steward  ;Dead;M
FLETCHER, Mr Robert;38;Engineering Crew;;Belfast;Fireman  ;Survivor;M
FLINN, Mr Michael;34;Engineering Crew;;Belfast;Fireman  ;Survivor;M
FLYNN, Mr James;28;3rd Class Passenger;"364851
£7 15s";Queenstown;General Labourer  ;Dead;M
FLYNN, Mr John;48;3rd Class Passenger;"368323
£6 19s";Queenstown;Farm Labourer  ;Dead;M
FLYNN, Mr John Irwin;36;1st Class Passenger;"PC 14474
£26 5s 9d";Southampton; ;Survivor;M
FOLEY, Mr John;46;Deck Crew;;Belfast;Deck storekeeper  ;Survivor;M
FOLEY, Mr Joseph;19;3rd Class Passenger;"330910
£7 17s 7d";Queenstown;Farm Labourer  ;Dead;M
FOLEY, Mr Wilfred Cyril;22;Victualling Crew;;Southampton;3rd Class Steward  ;Survivor;M
FOLEY, Mr William;20;3rd Class Passenger;"365235
£7 15s";Queenstown;Farm Labourer  ;Dead;M
FOO, Mr Choong;32;3rd Class Passenger;"1601
£56 9s 11d";Southampton;Seaman  ;Survivor;M
FORD, Miss Dollina Margaret;20;3rd Class Passenger;"6608
£34 7s 6d";Southampton;Servant  ;Dead;F
FORD, Miss Robina Maggie;7;3rd Class Passenger;"6608
£34 7s 6d";Southampton; ;Dead;F
FORD, Mr Arthur;23;3rd Class Passenger;"1478
£8 1s";Southampton;Carpenter / Joiner  ;Dead;M
FORD, Mr Edward Watson;18;3rd Class Passenger;"6608
£34 7s 6d";Southampton;Blacksmith  ;Dead;M
FORD, Mr Ernest;33;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
FORD, Mr Francis;44;Victualling Crew;;Southampton;Bedroom Steward (2nd class)  ;Dead;M
FORD, Mr H.;22;Engineering Crew;;Southampton;Trimmer  ;Dead;M
FORD, Mr Thomas;33;Engineering Crew;;Southampton;Leading Fireman  ;Dead;M
FORD, Mr William Neal Thomas;14;3rd Class Passenger;"6608
£34 7s 6d";Southampton;Messenger  ;Dead;M
